Original,New
"BLKYE","Unknown"
"BLKYW","Unknown"
"BLL","Unknown"
"BLLAC","Black"
"BLLE","Unknown"
"BLLK","Unknown"
"BLLS","Unknown"
"BLLT","Unknown"
"BLLU","Unknown"
"BLLUE","Blue"
"BLM","Unknown"
"BLMR","Unknown"
"BLN","Unknown"
"BLO","Unknown"
"BLOC","Unknown"
"BLOCK","Black"
"BLOE","Blue"
"BLOK","Black"
"BLON","Unknown"
"BLOND","Unknown"
"BLOO","Unknown"
"BLOOD","Unknown"
"BLOR","Unknown"
"BLOUN","Unknown"
"BLOWN","Brown"
"BLP","Unknown"
"BLPK","Unknown"
"BLPL","Unknown"
"BLPR","Unknown"
"BLPU","Unknown"
"BLQ","Unknown"
"BLQAC","Black"
"BLR","Unknown"
